apBusinessGroupName,apEnvName,harnProject,apiName,applicationName,clusterName,apiId,fgwInstanceName,apiSpecAssetVersion,apiSpecAssetId,apiLabel,api_label_fgw,dnsGlobal,dnsLocal,implHost,implProtocol,implPort,implPath,impl_tls_secret_group,impl_tls_context,impl_resp_timeout
Regions Bank,Dev,,rhel8-sample-proxy-ng-dev-v1,rhel8-sample-proxy-ng-dev-v1,rtf-api-ocp-np-b,19117733,fgw-regionsbank-dev-b-small-1,v1,rhel8-sample-proxy-ng,rhel8-sample-proxy-ng-dev-b,rhel8-sample-proxy-ng-fgw-dev-b,https://rhel8-sample-proxy-ng-dev-v1.api-np-c.regionsapps.com,https://rhel8-sample-proxy-ng-dev-v1.api-np-b.regionsapps.com,devl.rgbk.com,https,443,/,tls-secret-group,tls-context,30000
Regions Bank,Dev,,test-proxy-lab-dev-v1,test-proxy-lab-dev-v1,rtf-api-ocp-np-b,19373664,fgw-regionsbank-dev-b-small-1,v1,test-proxy-lab,test-proxy-lab-dev-b,test-proxy-lab-fgw-dev-b,https://test-proxy-lab-dev-v1.api-np-c.regionsapps.com,https://test-proxy-lab-dev-v1.api-np-b.regionsapps.com,devl.rgbk.com,https,16131,/bp,tls-secret-group,tls-context,30000
Regions Bank,Dev,,oauth-proxy-test-dev-v1,oauth-proxy-test-dev-v1,rtf-api-ocp-np-b,19481548,fgw-regionsbank-test-dev-b-small-1,v1,oauth-proxy-test,oauth-proxy-test-dev-b,oauth-proxy-test-fgw-dev-b,https://oauth-proxy-test-dev-v1.api-np-c.regionsapps.com,https://oauth-proxy-test-dev-v1.api-np-b.regionsapps.com/,devl.rgbk.com,https,16131,/bp,tls-secret-group,tls-context,30000
Regions Bank,Dev,,sample-proxy-connectedapp-dev-v1,sample-proxy-connectedapp-dev-v1,rtf-api-ocp-np-b,19664164,fgw-regionsbank-dev-b-small-1,v1,sample-proxy-connectedapp,sample-proxy-connectedapp-dev-b,sample-proxy-connectedapp-fgw-dev-b,https://sample-proxy-connectedapp-dev-v1.api-np-c.regionsapps.com,https://sample-proxy-connectedapp-dev-v1.api-np-b.regionsapps.com,devl.rgbk.com,https,16131,/bp,tls-secret-group,tls-context,30000
Regions Bank,Dev,,test-proxy-lab-dev-v1,test-proxy-lab-dev-v1,rtf-api-ocp-np-zb,19172120,fgw-regionsbank-dev-z-b-small-1,v1,test-proxy-lab,test-proxy-lab-dev-zb,test-proxy-lab-fgw-dev-zb,https://test-proxy-lab-dev-v1.api.regionstest.com,https://muletest-ocp.api.regionstest.com/,api-test.apps.np-dmz-b.openshift.rgbk.com,https,443,/,tls-secret-group,tls-context,30000
Regions Bank,Dev,,rhel8-sample-proxy-ng-dev-v1,rhel8-sample-proxy-ng-dev-v1,rtf-api-ocp-np-zb,19307473,fgw-regionsbank-dev-z-b-small-1,v1,rhel8-sample-proxy-ng,rhel8-sample-proxy-ng-dev-zb,rhel8-sample-proxy-ng-fgw-dev-zb,https://rhel8-sample-proxy-ng-dev-v1.api.regionstest.com,https://rhel8-sample-proxy-ng-dev-v1.api.regionstest.com,api-test.apps.np-dmz-b.openshift.rgbk.com,https,443,/,tls-secret-group,tls-context,30000
Business_Support,Dev,,idea-voltage-proxy-dev-v1,idea-voltage-proxy-dev-v1,rtf-api-ocp-np-b,18822146,fgw-business-support-dev-b-small-1,v1,idea-voltage-proxy,idea-voltage-proxy-dev-b,idea-voltage-proxy-fgw-dev-b,https://idea-voltage-proxy-dev-v1.api-np-c.regionsapps.com,https://idea-voltage-proxy-dev-v1.api-np-b.regionsapps.com/,voltage-pp-0000.gslb.rgbk.com,https,443,/,tls-secret-group,tls-context,30000
Business_Support,Dev,,treasurymanagement-tmsign-sys-proxy-dev-v1,treasurymanagement-tmsign-sys-proxy-dev-v1,rtf-api-ocp-np-zb,19769256,fgw-business-support-dev-z-b-small-1,v1,treasurymanagement-tmsign-sys-proxy,treasurymanagement-tmsign-sys-proxy-dev-zb,treasurymanagement-tmsign-sys-proxy-fgw-dev-zb,https://treasurymanagement-tmsign-sys-proxy-dev-v1.api.regionstest.com,https://treasurymanagement-tmsign-sys-proxy-dev.api.regionstest.com,tmsign-qa.rgbk.com,https,443,/Home,tls-secret-group,tls-context,30000
Business_Support,Dev,,treasurymanagement-tmsign-sys-proxy-dev-v1,treasurymanagement-tmsign-sys-proxy-dev-v1,rtf-api-ocp-np-za,20006907,fgw-business-support-dev-z-a-small-1,v1,treasurymanagement-tmsign-sys-proxy,treasurymanagement-tmsign-sys-proxy-dev-za,treasurymanagement-tmsign-sys-proxy-fgw-dev-za,https://treasurymanagement-tmsign-sys-proxy-dev-v1.api.regionstest.com,https://treasurymanagement-tmsign-sys-proxy-dev.api.regionstest.com,tmsign-qa.rgbk.com,https,443,/Home,tls-secret-group,tls-context,30000
Human_Resource_Management,Dev,,hr-sact-sys-proxy-dev-v1,hr-sact-sys-proxy-dev-v1,rtf-api-ocp-np-b,16975274,fgw-human-resource-management-dev-b-small-1,v1,hr-sact-sys-proxy,hr-sact-sys-proxy-b,hr-sact-sys-proxy-fgw-b,https://hr-sact-sys-proxy-dev-v1.api-np-c.regionsapps.com,https://hr-sact-sys-proxy-dev-v1.api-np-b.regionsapps.com/,sact-safeactbgc-dev.ocp-np-b.regionsapps.com,HTTPS,443,/,tls-secret-group,tls-context,10000
